"year","theodore","abraham","bill","franklin","john","george","barack","donald","adolf","elon","beyonce","keanu","sydney","taylor","jennifer","kendall","kylie","kim","margot","sabrina","ariana","rihanna"
1880,"232","81","53","120","9701","5152","0","46","6","0","0","0","12","37","0","0","0","0","0","0","0","0"
1881,"178","86","42","117","8794","4694","0","27","0","0","0","0","6","39","0","0","0","0","0","0","0","0"
1882,"232","91","61","112","9597","5225","0","48","5","0","0","0","10","27","0","0","0","0","0","0","0","0"
1883,"185","52","50","94","8934","4758","0","52","6","0","0","0","11","27","0","0","0","0","0","0","0","0"
1884,"211","67","82","93","9428","5001","0","59","6","0","0","0","13","21","0","0","0","0","0","0","0","0"
1885,"199","86","66","117","8801","4703","0","47","7","5","0","0","25","26","0","0","0","0","0","0","0","0"
1886,"258","77","64","127","9074","4709","0","57","0","0","0","0","18","22","0","0","0","0","0","0","0","0"
1887,"201","75","63","89","8166","4318","0","60","0","0","0","0","14","20","0","0","0","0","0","0","0","0"
1888,"249","78","58","129","9299","4948","0","77","0","0","0","0","24","29","0","0","0","0","0","0","0","0"
1889,"231","83","61","100","8600","4472","0","75","0","0","0","0","18","28","0","0","0","0","0","0","0","0"
1890,"190","70","72","90","8558","4495","0","114","0","0","0","0","17","22","0","0","0","0","0","0","0","0"
1891,"224","62","65","109","7724","3954","0","100","10","0","0","0","8","22","0","0","0","0","0","0","0","0"
1892,"239","99","75","109","9093","4800","0","137","5","0","0","0","21","29","0","0","0","0","0","0","0","0"
1893,"209","103","71","99","8110","4345","0","166","0","5","0","0","23","26","0","0","0","0","0","0","0","0"
1894,"241","73","73","84","8297","4397","0","169","5","0","0","0","21","22","0","0","0","0","5","0","0","0"
1895,"208","94","90","103","8381","4335","0","203","0","0","0","0","24","26","0","0","0","0","0","0","0","0"
1896,"241","109","86","96","8188","4318","0","211","5","0","0","0","21","32","0","0","0","0","5","0","0","0"
1897,"215","62","84","68","7596","4104","0","195","8","0","0","0","15","32","0","0","0","0","0","0","0","0"
1898,"281","92","90","112","8214","4904","0","238","0","0","0","0","11","26","0","0","0","0","0","0","0","0"
1899,"252","85","83","116","7030","4051","0","258","5","0","0","0","23","27","0","0","0","0","6","0","0","0"
1900,"429","100","196","137","9874","5442","0","328","8","0","0","0","13","48","0","0","0","0","11","0","0","0"
1901,"456","62","104","92","6939","3636","0","250","6","0","0","0","20","25","0","0","0","0","0","0","0","0"
1902,"642","82","138","97","7945","4255","0","366","8","0","0","0","18","20","0","0","0","0","6","0","0","0"
1903,"668","95","129","116","7649","3988","0","359","5","0","0","0","28","20","0","0","0","0","0","0","0","0"
1904,"834","111","128","108","8148","4245","0","413","5","6","0","0","34","31","0","0","0","0","6","0","0","0"
1905,"834","112","147","98","8102","4288","0","425","0","0","0","0","49","30","0","0","0","0","6","0","0","0"
1906,"693","122","128","125","8307","4231","0","486","9","0","0","0","26","26","0","5","0","0","7","0","0","0"
1907,"712","148","174","122","9048","4489","0","616","5","0","0","0","27","25","0","8","0","0","9","0","0","0"
1908,"648","150","169","133","9401","4625","0","664","10","6","0","0","39","22","0","6","0","0","14","0","0","0"
1909,"603","163","210","168","9657","4725","0","725","7","0","0","0","45","35","0","0","0","0","10","0","0","0"
1910,"700","191","264","176","11538","5499","0","866","11","0","0","0","57","35","0","11","0","0","12","0","0","0"
1911,"763","292","248","220","13514","6637","0","1275","13","12","0","0","66","45","0","9","0","0","16","0","0","0"
1912,"1569","533","354","497","24700","11803","0","2879","23","8","0","0","126","57","0","17","0","5","23","0","0","0"
1913,"1656","551","477","593","29451","13951","0","3716","22","13","0","0","167","73","0","45","0","7","19","0","0","0"
1914,"1936","700","577","775","38116","17709","0","4854","37","8","0","0","203","89","0","30","0","5","36","0","0","0"
1915,"2511","790","761","1001","47776","22446","0","7136","45","16","0","0","199","107","0","45","0","5","29","0","0","0"
1916,"2649","753","865","1073","50270","23516","0","7758","55","23","0","0","244","101","0","49","0","0","32","5","0","0"
1917,"2820","731","907","1201","52105","24335","0","8758","50","18","0","0","212","119","0","45","0","0","40","0","0","0"
1918,"3159","757","1051","1280","56806","26475","0","10010","56","9","0","0","231","137","0","47","0","5","40","0","0","0"
1919,"3441","742","1207","1216","53829","25334","0","9946","46","27","0","0","201","119","6","57","0","0","38","6","0","0"
1920,"3235","656","1439","1458","57194","27057","0","11987","46","16","0","0","207","108","7","60","0","5","55","0","0","0"
