"old_names","year","num"
"Ardeth",1880,"0"
"Ardeth",1881,"0"
"Ardeth",1882,"0"
"Ardeth",1883,"0"
"Ardeth",1884,"0"
"Ardeth",1885,"0"
"Ardeth",1886,"0"
"Ardeth",1887,"0"
"Ardeth",1888,"0"
"Ardeth",1889,"0"
"Ardeth",1890,"0"
"Ardeth",1891,"0"
"Ardeth",1892,"0"
"Ardeth",1893,"0"
"Ardeth",1894,"0"
"Ardeth",1895,"0"
"Ardeth",1896,"0"
"Ardeth",1897,"0"
"Ardeth",1898,"0"
"Ardeth",1899,"0"
"Ardeth",1900,"0"
"Ardeth",1901,"0"
"Ardeth",1902,"0"
"Ardeth",1903,"0"
"Ardeth",1904,"0"
"Ardeth",1905,"0"
"Ardeth",1906,"0"
"Ardeth",1907,"0"
"Ardeth",1908,"0"
"Ardeth",1909,"0"
"Ardeth",1910,"0"
"Ardeth",1911,"0"
"Ardeth",1912,"6"
"Ardeth",1913,"6"
"Ardeth",1914,"6"
"Ardeth",1915,"21"
"Ardeth",1916,"16"
"Ardeth",1917,"21"
"Ardeth",1918,"14"
"Ardeth",1919,"23"
"Ardeth",1920,"20"
"Ardeth",1921,"26"
"Ardeth",1922,"18"
"Ardeth",1923,"19"
"Ardeth",1924,"25"
"Ardeth",1925,"19"
"Ardeth",1926,"23"
"Ardeth",1927,"32"
"Ardeth",1928,"27"
"Ardeth",1929,"38"
"Ardeth",1930,"121"
"Ardeth",1931,"58"
"Ardeth",1932,"55"
"Ardeth",1933,"52"
"Ardeth",1934,"37"
"Ardeth",1935,"32"
"Ardeth",1936,"22"
"Ardeth",1937,"31"
"Ardeth",1938,"27"
"Ardeth",1939,"15"
"Ardeth",1940,"20"
"Ardeth",1941,"17"
"Ardeth",1942,"19"
"Ardeth",1943,"21"
"Ardeth",1944,"12"
"Ardeth",1945,"9"
"Ardeth",1946,"14"
"Ardeth",1947,"13"
"Ardeth",1948,"13"
"Ardeth",1949,"14"
"Ardeth",1950,"9"
"Ardeth",1951,"7"
"Ardeth",1952,"8"
"Ardeth",1953,"13"
"Ardeth",1954,"12"
"Ardeth",1955,"12"
"Ardeth",1956,"0"
"Ardeth",1957,"0"
"Ardeth",1958,"0"
"Ardeth",1959,"0"
"Ardeth",1960,"0"
"Ardeth",1961,"5"
"Ardeth",1962,"0"
"Ardeth",1963,"5"
"Ardeth",1964,"0"
"Ardeth",1965,"0"
"Ardeth",1966,"0"
"Ardeth",1967,"0"
"Ardeth",1968,"0"
"Ardeth",1969,"0"
"Ardeth",1970,"0"
"Ardeth",1971,"0"
"Ardeth",1972,"0"
"Ardeth",1973,"0"
"Ardeth",1974,"0"
"Ardeth",1975,"0"
"Ardeth",1976,"0"
"Ardeth",1977,"0"
"Ardeth",1978,"0"
"Ardeth",1979,"0"
"Ardeth",1980,"0"
"Ardeth",1981,"0"
"Ardeth",1982,"0"
"Ardeth",1983,"0"
"Ardeth",1984,"0"
"Ardeth",1985,"0"
"Ardeth",1986,"0"
"Ardeth",1987,"0"
"Ardeth",1988,"0"
"Ardeth",1989,"0"
"Ardeth",1990,"0"
"Ardeth",1991,"0"
"Ardeth",1992,"0"
"Ardeth",1993,"0"
"Ardeth",1994,"0"
"Ardeth",1995,"0"
"Ardeth",1996,"0"
"Ardeth",1997,"0"
"Ardeth",1998,"0"
"Ardeth",1999,"0"
"Ardeth",2000,"0"
"Ardeth",2001,"0"
"Ardeth",2002,"0"
"Ardeth",2003,"0"
"Ardeth",2004,"0"
"Ardeth",2005,"0"
"Ardeth",2006,"0"
"Ardeth",2007,"0"
"Ardeth",2008,"0"
"Ardeth",2009,"0"
"Ardeth",2010,"0"
"Ardeth",2011,"0"
"Ardeth",2012,"0"
"Ardeth",2013,"0"
"Ardeth",2014,"0"
"Ardeth",2015,"0"
"Ardeth",2016,"0"
"Ardeth",2017,"0"
"Ardeth",2018,"0"
"Ardeth",2019,"0"
"Ardeth",2020,"0"
"Ardeth",2021,"0"
"Ardeth",2022,"0"
"Ardeth",2023,"0"
"Ardeth",2024,"0"
"Ardeth",2025,"0"
"Barb",1880,"0"
"Barb",1881,"0"
"Barb",1882,"0"
"Barb",1883,"0"
"Barb",1884,"0"
"Barb",1885,"0"
"Barb",1886,"0"
"Barb",1887,"0"
"Barb",1888,"0"
"Barb",1889,"0"
"Barb",1890,"0"
"Barb",1891,"0"
"Barb",1892,"0"
"Barb",1893,"0"
"Barb",1894,"0"
"Barb",1895,"0"
"Barb",1896,"0"
"Barb",1897,"0"
"Barb",1898,"0"
"Barb",1899,"0"
"Barb",1900,"0"
"Barb",1901,"0"
"Barb",1902,"0"
"Barb",1903,"0"
"Barb",1904,"0"
"Barb",1905,"0"
"Barb",1906,"0"
"Barb",1907,"0"
"Barb",1908,"0"
"Barb",1909,"0"
"Barb",1910,"0"
"Barb",1911,"0"
"Barb",1912,"0"
"Barb",1913,"0"
"Barb",1914,"0"
"Barb",1915,"0"
"Barb",1916,"0"
"Barb",1917,"0"
"Barb",1918,"0"
"Barb",1919,"0"
"Barb",1920,"0"
"Barb",1921,"0"
"Barb",1922,"0"
"Barb",1923,"0"
"Barb",1924,"0"
"Barb",1925,"0"
"Barb",1926,"0"
"Barb",1927,"0"
"Barb",1928,"0"
"Barb",1929,"0"
"Barb",1930,"0"
"Barb",1931,"0"
"Barb",1932,"0"
"Barb",1933,"0"
"Barb",1934,"0"
"Barb",1935,"0"
"Barb",1936,"0"
"Barb",1937,"0"
"Barb",1938,"6"
"Barb",1939,"0"
"Barb",1940,"0"
"Barb",1941,"9"
"Barb",1942,"16"
"Barb",1943,"16"
"Barb",1944,"17"
"Barb",1945,"17"
"Barb",1946,"31"
"Barb",1947,"36"
"Barb",1948,"30"
"Barb",1949,"29"
"Barb",1950,"17"
"Barb",1951,"8"
"Barb",1952,"12"
"Barb",1953,"22"
"Barb",1954,"28"
"Barb",1955,"51"
"Barb",1956,"128"
"Barb",1957,"290"
"Barb",1958,"440"
"Barb",1959,"464"
"Barb",1960,"493"
"Barb",1961,"452"
"Barb",1962,"351"
"Barb",1963,"267"
"Barb",1964,"225"
"Barb",1965,"149"
"Barb",1966,"78"
"Barb",1967,"65"
"Barb",1968,"32"
"Barb",1969,"28"
"Barb",1970,"25"
"Barb",1971,"12"
"Barb",1972,"9"
"Barb",1973,"0"
"Barb",1974,"0"
"Barb",1975,"0"
"Barb",1976,"0"
"Barb",1977,"0"
"Barb",1978,"0"
"Barb",1979,"0"
"Barb",1980,"0"
"Barb",1981,"0"
"Barb",1982,"0"
"Barb",1983,"0"
"Barb",1984,"0"
"Barb",1985,"0"
"Barb",1986,"0"
"Barb",1987,"0"
"Barb",1988,"0"
"Barb",1989,"0"
"Barb",1990,"0"
"Barb",1991,"0"
"Barb",1992,"0"
"Barb",1993,"0"
