"year","total_names","change_from_previous_year"
1880,"2000",NULL
1881,"1934","-66"
1882,"2127","193"
1883,"2084","-43"
1884,"2297","213"
1885,"2294","-3"
1886,"2392","98"
1887,"2373","-19"
1888,"2651","278"
1889,"2590","-61"
1890,"2695","105"
1891,"2660","-35"
1892,"2921","261"
1893,"2831","-90"
1894,"2941","110"
1895,"3049","108"
1896,"3091","42"
1897,"3028","-63"
1898,"3264","236"
1899,"3042","-222"
1900,"3729","687"
1901,"3153","-576"
1902,"3362","209"
1903,"3389","27"
1904,"3560","171"
1905,"3655","95"
1906,"3633","-22"
1907,"3948","315"
1908,"4018","70"
1909,"4227","209"
1910,"4629","402"
1911,"4867","238"
1912,"6350","1483"
1913,"6968","618"
1914,"7965","997"
1915,"9357","1392"
1916,"9696","339"
1917,"9912","216"
1918,"10398","486"
1919,"10369","-29"
1920,"10756","387"
1921,"10856","100"
1922,"10756","-100"
1923,"10643","-113"
1924,"10870","227"
1925,"10638","-232"
1926,"10459","-179"
1927,"10404","-55"
1928,"10163","-241"
1929,"9822","-341"
1930,"9789","-33"
1931,"9300","-489"
1932,"9382","82"
1933,"9014","-368"
1934,"9178","164"
1935,"9039","-139"
1936,"8893","-146"
1937,"8950","57"
1938,"9030","80"
1939,"8918","-112"
1940,"8965","47"
1941,"9087","122"
1942,"9422","335"
1943,"9407","-15"
1944,"9152","-255"
1945,"9025","-127"
1946,"9704","679"
1947,"10370","666"
1948,"10239","-131"
1949,"10271","32"
1950,"10305","34"
1951,"10466","161"
1952,"10646","180"
1953,"10838","192"
1954,"10985","147"
1955,"11132","147"
1956,"11346","214"
1957,"11567","221"
1958,"11532","-35"
1959,"11774","242"
1960,"11930","156"
1961,"12184","254"
1962,"12215","31"
1963,"12282","67"
1964,"12400","118"
1965,"11960","-440"
1966,"12164","204"
1967,"12403","239"
1968,"12944","541"
1969,"13751","807"
1970,"14788","1037"
1971,"15300","512"
1972,"15417","117"
1973,"15687","270"
1974,"16251","564"
1975,"16955","704"
1976,"17408","453"
1977,"18190","782"
1978,"18237","47"
1979,"19043","806"
1980,"19454","411"
1981,"19487","33"
1982,"19699","212"
1983,"19418","-281"
1984,"19522","104"
1985,"20091","569"
1986,"20666","575"
1987,"21415","749"
1988,"22378","963"
1989,"23782","1404"
1990,"24727","945"
1991,"25114","387"
1992,"25430","316"
1993,"25971","541"
1994,"26004","33"
1995,"26083","79"
1996,"26430","347"
1997,"26977","547"
1998,"27912","935"
1999,"28561","649"
2000,"29779","1218"
2001,"30285","506"
2002,"30575","290"
2003,"31200","625"
2004,"32063","863"
2005,"32569","506"
2006,"34111","1542"
2007,"34978","867"
2008,"35107","129"
2009,"34739","-368"
2010,"34111","-628"
2011,"33950","-161"
2012,"33784","-166"
2013,"33349","-435"
2014,"33313","-36"
2015,"33189","-124"
2016,"33092","-97"
2017,"32710","-382"
2018,"32270","-440"
2019,"32157","-113"
2020,"31587","-570"
2021,"31772","185"
2022,"32093","321"
2023,"31830","-263"
2024,"32020","190"
2025,"31227","-793"
