"first_name","year","proportion"
"Anna",1880,"1.29836612336463441300"
"George",1880,"2.55702686069365309400"
"Charles",1880,"2.65976454706080879900"
"Helen",1880,"0.31565781898314506400"
"James",1880,"2.95259176907347481700"
"John",1880,"4.81477437414385261400"
"Robert",1880,"1.20456214885549224800"
"Margaret",1880,"0.78318873955252029900"
"Mary",1880,"3.51988247205733457700"
"William",1880,"4.74578626590697028100"
"William",1881,"4.43930083866146309100"
"John",1881,"4.56385452129867973100"
"Anna",1881,"1.40849456115585817500"
"James",1881,"2.83619114838495391500"
"Charles",1881,"2.41478452212903761500"
"George",1881,"2.43606244291289545800"
"Helen",1881,"0.32124470646848791800"
"Mary",1881,"3.60582911234742173900"
"Margaret",1881,"0.86512912065100058100"
"Robert",1881,"1.11527443328074400100"
"Margaret",1882,"0.82515923135605079200"
"Mary",1882,"3.69154934027887493100"
"Robert",1882,"1.13391684308884003700"
"William",1882,"4.21111076002220888100"
"John",1882,"4.33208596461926665600"
"Anna",1882,"1.41875025391250964900"
"Helen",1882,"0.37827321437438214600"
"Charles",1882,"2.30845968772146813300"
"James",1882,"2.66777410137541585200"
"George",1882,"2.35856508962547340600"
"John",1883,"4.11809444790154186500"
"George",1883,"2.19318260388577750100"
"Charles",1883,"2.23282398764663854900"
"Anna",1883,"1.53126368434395814600"
"Helen",1883,"0.39964046186821544600"
"James",1883,"2.41904630205812533100"
"Robert",1883,"1.08091912696766461500"
"Mary",1883,"3.70785222060891009200"
"Margaret",1883,"0.87303233538454447000"
"William",1883,"3.88439466224158196800"
"William",1884,"3.66836441304526410900"
"James",1884,"2.35192639447958596900"
"John",1884,"3.87250472356855335600"
"Charles",1884,"1.98020208658506530800"
"George",1884,"2.05413620307237328500"
"Anna",1884,"1.59369095539308305300"
"Helen",1884,"0.40499466031380925000"
"Mary",1884,"3.80062433253922615600"
"Margaret",1884,"0.88392343711492647700"
"Robert",1884,"1.01659410170048467900"
"Margaret",1885,"0.91964426582078769700"
"Mary",1885,"3.80562498443040182000"
"Robert",1885,"0.96863660142659038300"
"William",1885,"3.35348385328871432500"
"Helen",1885,"0.47331578466622933400"
"James",1885,"2.15939947021847260200"
"John",1885,"3.65408089548024944600"
"Anna",1885,"1.66656978916688118100"
"Charles",1885,"1.91942006360699843100"
"George",1885,"1.95263520639059347200"
"George",1886,"1.84438108069999530000"
"Helen",1886,"0.49624778705604035800"
"James",1886,"2.10875934136521017100"
"John",1886,"3.55402716633505146600"
"Charles",1886,"1.78406367011859812900"
"Anna",1886,"1.68340409531717557800"
"Robert",1886,"0.96312021181594573000"
"Margaret",1886,"0.89418602829434896400"
"Mary",1886,"3.88577292453273590400"
"William",1886,"3.24578169797427501600"
"William",1887,"3.03729723393332821300"
"James",1887,"1.93458937471452073800"
"George",1887,"1.74541515253182209500"
"Helen",1887,"0.56792688497156323400"
"Charles",1887,"1.64274367297112667800"
"John",1887,"3.30084764603401093800"
"Anna",1887,"1.71388611550137232200"
"Robert",1887,"0.86219789725576112300"
"Mary",1887,"4.01591003714767311700"
"Margaret",1887,"0.98305920587248525600"
"Robert",1888,"0.94599197259194454300"
"Mary",1888,"3.94157756599905167100"
"Margaret",1888,"0.97337331454483527800"
"William",1888,"2.92078778124311292500"
"Anna",1888,"1.67226537195215611400"
"Helen",1888,"0.61841762557016635800"
"James",1888,"1.87228273572997989800"
"George",1888,"1.65223024369394338100"
"Charles",1888,"1.54237095707807689500"
"John",1888,"3.10511096121867006800"
"George",1889,"1.54769403279505513100"
"Anna",1889,"1.75984439999169395000"
"Helen",1889,"0.66344576495262090500"
"James",1889,"1.74634706831034172500"
"John",1889,"2.97633467845202909900"
"Charles",1889,"1.46290310300194500000"
"Robert",1889,"0.87455787586607878300"
"Margaret",1889,"1.01403030324005177400"
"Mary",1889,"4.04539256470067071400"
"William",1889,"2.70569587396953063900"
"William",1890,"2.49766921808487695800"
"George",1890,"1.49136864177623830000"
"Anna",1890,"1.74286083987777081000"
"Helen",1890,"0.76940686991748534300"
"Charles",1890,"1.35732794516275659300"
"James",1890,"1.70205141986921078600"
"John",1890,"2.83940663766875358700"
"Robert",1890,"0.84704430310450197600"
"Mary",1890,"4.01889841108689088600"
"Margaret",1890,"1.03350685631434534100"
"Robert",1891,"0.78451755135642352100"
"Margaret",1891,"1.07334837951254565300"
"Mary",1891,"4.09630484907891569800"
"William",1891,"2.37657540124113537000"
"Anna",1891,"1.78391407631691858000"
"George",1891,"1.37927185329626438500"
"Charles",1891,"1.27985544505412089700"
"Helen",1891,"0.84626037331733368700"
"James",1891,"1.58612774834044364100"
"John",1891,"2.69435907811339051800"
"John",1892,"2.71941000197383767900"
"Anna",1892,"1.66340684383355165200"
"James",1892,"1.62093942710856705400"
"Charles",1892,"1.30034033746642980600"
"George",1892,"1.43551831183046528700"
"Helen",1892,"0.88015216494105402900"
"Margaret",1892,"1.03088158768325288400"
"Mary",1892,"3.95425481646300250600"
"Robert",1892,"0.81555384090868309100"
"William",1892,"2.34049298091358777900"
"William",1893,"2.23077703606448498400"
"John",1893,"2.49367357167236019600"
"Anna",1893,"1.75633334665752422200"
"Helen",1893,"1.00146668593549656700"
"Charles",1893,"1.15182505542350940700"
"James",1893,"1.55370315137613268400"
"George",1893,"1.33600637101312022800"
"Mary",1893,"3.94775277271287701100"
"Margaret",1893,"1.10047567361471974600"
"Robert",1893,"0.79330182674657081400"
"Robert",1894,"0.74345271487200685000"
"Margaret",1894,"1.09687324692196403800"
"Mary",1894,"3.89707402049071422200"
"William",1894,"2.15772535356815967400"
"John",1894,"2.44973279400041335700"
"George",1894,"1.29823732616847264500"
"Charles",1894,"1.12610351649000561000"
"Anna",1894,"1.64900056098497150800"
"Helen",1894,"1.08772033422894091900"
"James",1894,"1.51613569931205527200"
"James",1895,"1.52954247621218164200"
"John",1895,"2.38761324141074582600"
"Charles",1895,"1.04267563101817560300"
"George",1895,"1.23497236624693749600"
"Anna",1895,"1.70018802347444590100"
"Helen",1895,"1.15093157085066378000"
"Mary",1895,"3.84422540026209332800"
"Margaret",1895,"1.12244316563158794400"
"Robert",1895,"0.75636715856646344900"
"William",1895,"2.08449660987977893000"
"William",1896,"2.17940433531104975600"
"Helen",1896,"1.23138722680519073600"
"James",1896,"1.46412556681016999400"
"John",1896,"2.29045856726054106100"
"Anna",1896,"1.64399425986690276200"
"Charles",1896,"1.02074783975741503800"
"George",1896,"1.20788960593930340700"
"Margaret",1896,"1.13515887468774738900"
"Mary",1896,"3.87934531152530330100"
"Robert",1896,"0.76842814903086300600"
"Robert",1897,"0.78367059895030219900"
"Margaret",1897,"1.19755474021276411800"
"Mary",1897,"3.88405479641569416400"
"William",1897,"2.08383171401643431300"
"George",1897,"1.18285551235455690500"
"Helen",1897,"1.30707839876411197900"
"James",1897,"1.48231625244626855800"
"John",1897,"2.18932029041062725400"
"Charles",1897,"0.96870793787126358600"
"Anna",1897,"1.57022339944142934100"
"James",1898,"1.40252822096504427800"
"George",1898,"1.28560717675001441900"
"Helen",1898,"1.37552627577637146300"
"Charles",1898,"0.93746559218149501600"
"John",1898,"2.15333959009474274700"
"Anna",1898,"1.52154650364133027800"
"Robert",1898,"0.77178375374225987900"
"Margaret",1898,"1.23527345367986703500"
"Mary",1898,"3.78970989948984674400"
"William",1898,"1.95069392377586812600"
"William",1899,"1.80082716009350505400"
"Anna",1899,"1.51459321469314600900"
"Helen",1899,"1.49277929918374686400"
"James",1899,"1.36307493669542762600"
"George",1899,"1.19416448281859371000"
"Charles",1899,"0.93446097519993632700"
"John",1899,"2.07232197339291873100"
"Robert",1899,"0.77439400058366963100"
"Margaret",1899,"1.25636362028458316300"
"Mary",1899,"3.89761609277399309600"
"Robert",1900,"0.85395484366740846400"
"Mary",1900,"3.72675221761745488100"
"Margaret",1900,"1.18154480320171990300"
"William",1900,"1.91512421767075765500"
"George",1900,"1.20864037951574430700"
"Anna",1900,"1.36344051632619520400"
"Helen",1900,"1.41252348653438695100"
"James",1900,"1.61818335265558857400"
"John",1900,"2.19296492233341772900"
"Charles",1900,"0.91636350714479254100"
"George",1901,"1.05143835378760713900"
"Anna",1901,"1.42881103027078296900"
"Helen",1901,"1.52221438238117821200"
"Charles",1901,"0.88834395567533804500"
"James",1901,"1.37791632447688339300"
"John",1901,"2.00658161081743837700"
"Robert",1901,"0.73999745526471030500"
"Mary",1901,"3.81536788775403976700"
"Margaret",1901,"1.28538049576070234700"
"William",1901,"1.74140862665263206600"
"William",1902,"1.71746398678157798800"
"Anna",1902,"1.37148885665303969400"
"George",1902,"1.10024228602162215300"
"Charles",1902,"0.87553945486938016700"
"Helen",1902,"1.55068225364786558200"
