"first_name","year","proportion"
"Christopher",1880,"0.04715014591729368100"
"Matthew",1880,"0.05608385777530722000"
"Michael",1880,"0.17569633320759961100"
"Christopher",1881,"0.03529021008054471500"
"Matthew",1881,"0.04151789421240554700"
"Michael",1881,"0.15465415594121066200"
"Matthew",1882,"0.04920260186969887100"
"Michael",1882,"0.14489940550617740900"
"Christopher",1882,"0.04017460152663485800"
"Christopher",1883,"0.04102422272926317700"
"Matthew",1883,"0.03964138376086104800"
"Michael",1883,"0.14151052109981792600"
"Christopher",1884,"0.02793066622853856900"
"Matthew",1884,"0.04805717571675018500"
"Michael",1884,"0.15320791916536597400"
"Matthew",1885,"0.04608601061223811900"
"Michael",1885,"0.15362003537412706500"
"Christopher",1885,"0.02947843922044059900"
"Christopher",1886,"0.02585031882059878700"
"Matthew",1886,"0.04386720769556157900"
"Michael",1886,"0.13630168105406633300"
"Christopher",1887,"0.02263623171416906800"
"Matthew",1887,"0.04365558973446891800"
"Michael",1887,"0.13905113767275284900"
"Matthew",1888,"0.03806674369060419300"
"Michael",1888,"0.15560616280545222600"
"Christopher",1888,"0.02637958553998009800"
"Christopher",1889,"0.02457206536861558900"
"Matthew",1889,"0.04083808047178365500"
"Michael",1889,"0.13047420625307150800"
"Christopher",1890,"0.02189773756556879400"
"Matthew",1890,"0.02853341561574115500"
"Michael",1890,"0.13072285758839552600"
"Matthew",1891,"0.03941773379425338300"
"Michael",1891,"0.11616022436713607500"
"Christopher",1891,"0.02162742916144875900"
"Christopher",1892,"0.02990663149646802700"
"Matthew",1892,"0.03947675357533779500"
"Michael",1892,"0.11364519968657850200"
"Christopher",1893,"0.02859576352226011100"
"Matthew",1893,"0.03320798344520529000"
"Michael",1893,"0.12514490057591252800"
"Matthew",1894,"0.03661165077209247400"
"Michael",1894,"0.12489296997254126200"
"Christopher",1894,"0.02125837786766659800"
"Christopher",1895,"0.01709304313144550200"
"Matthew",1895,"0.03190701384536493600"
"Michael",1895,"0.11765711355478320300"
"Christopher",1896,"0.02042055146678303600"
"Matthew",1896,"0.03440723055362073200"
"Michael",1896,"0.11161369911296481200"
"Matthew",1897,"0.02882201540824943700"
"Michael",1897,"0.10808255778093539000"
"Christopher",1897,"0.01642854878270217900"
"Christopher",1898,"0.01127265672925175800"
"Matthew",1898,"0.03486658941838334400"
"Michael",1898,"0.11377518652314564800"
"Christopher",1899,"0.01238087096479410900"
"Matthew",1899,"0.02977304684390964300"
