"first_name","early_male","early_female","recent_female","recent_male"
"Jessie","73759","132524","37512","37572"
"Dakota","19","108","41350","93099"
"Gael","76","478","195","49003"
"Jan","15733","50431","4100","6670"
"Beckett","0","5","1369","29156"
"Ollie","14184","39846","1795","3442"
"Tristen","0","30","4152","21372"
"Deshawn","140","212","971","15934"
"Pat","25753","39843","280","979"
"Kyrie","0","14","4284","18612"
"Robbie","11910","19608","2945","9476"
"Niko","30","40","466","14599"
"Frankie","25129","27341","9821","17139"
"Dashawn","10","35","506","8870"
"Germaine","36","6984","926","2328"
"Karon","101","5496","712","3097"
"Kris","7634","10989","2582","6766"
"Tristin","0","30","2797","9785"
"Alpha","1241","6744","444","1616"
"Leone","81","6040","142","374"
"Musa","5","31","0","6104"
"Lue","494","6430","44","201"
"Shamar","0","5","244","6137"
"Lavon","2137","5590","656","2976"
"Rashawn","19","47","662","6389"
"Deshaun","11","31","200","5707"
"Ardis","887","6258","128","143"
"Vernell","2302","6810","314","1042"
"Arian","8","16","1562","6704"
"Onyx","0","5","1778","6849"
"Idris","12","20","33","5019"
"Krish","0","5","5","4811"
"Damari","0","22","789","5547"
"Johann","322","546","104","4547"
"Marvel","605","4802","396","766"
"Nikko","0","8","168","4526"
"Justyn","6","15","137","4392"
"Karan","0","3043","407","1512"
"Sami","124","228","1196","5179"
"Rayshawn","5","7","171","3999"
"Rami","17","25","211","3869"
"Montez","131","695","42","3074"
"Latrell","12","132","409","3827"
"Lian","0","34","1092","4579"
"Artie","3601","6321","78","816"
"Ever","16","916","1996","4447"
"Vinnie","231","2994","125","589"
"Willia","380","3296","20","170"
"Rashaun","0","6","176","3132"
"Jacque","1197","3867","1021","1228"
"Larue","1234","3838","142","306"
"Romaine","526","2975","161","464"
"Marshawn","0","11","67","2674"
"Mozell","449","3031","19","35"
"Caron","10","2363","816","1023"
"Marquel","9","17","231","2703"
"Jovon","0","15","274","2727"
"Deshon","58","62","104","2494"
"Kayne","6","15","0","2384"
"Laquan","0","5","212","2478"
"Khristian","5","6","553","2796"
"Lennie","2215","4275","560","675"
"Brantlee","0","7","223","2363"
"Zephyr","0","135","560","2528"
"Jamell","0","5","70","2165"
"Mardell","42","2125","45","52"
"Lavelle","817","1400","188","1664"
"Reda","0","1741","102","364"
"Isa","23","1152","2281","3119"
"Demetris","216","328","564","2397"
"Aren","11","27","321","2236"
"Rashon","5","13","105","1869"
"Clemmie","904","2622","15","68"
"Ocie","2424","3991","141","315"
"Roshan","0","26","103","1788"
"Torey","174","218","1203","2799"
"Luan","0","515","0","1107"
"Ossie","1482","2911","6","195"
"Adel","56","844","650","1452"
"Andree","199","1417","527","891"
"Taran","0","10","550","2073"
"Jawan","0","7","5","1462"
"Saxon","15","32","134","1556"
"Davi","64","68","566","1994"
"Dru","418","658","1208","2370"
"Shan","506","521","343","1718"
"Joell","6","613","416","1194"
"Vernie","2658","3929","30","102"
"Jamaine","0","5","11","1340"
"Kiran","8","24","1852","3157"
"Vennie","50","1339","0","21"
"Alder","13","20","48","1350"
"Verdell","1013","2035","50","327"
"Tashawn","0","20","253","1527"
"Nery","0","5","282","1563"
"Deshun","14","15","25","1300"
"Lajuan","47","506","233","1049"
"Adair","128","560","860","1669"
"Marvis","584","1320","46","518"
"Dorien","6","31","38","1201"
"Monta","69","868","39","423"
"Ether","53","1214","0","18"
"Nicco","0","5","0","1168"
"Unknown","6391","6927","2899","3497"
"Edris","0","700","6","408"
"Trinidad","3126","3171","1183","2240"
"Karel","189","1039","169","417"
"Anner","0","1037","0","59"
"Yael","0","194","4307","5207"
"Baby","241","642","5465","6133"
"Daris","395","578","30","865"
"Tobey","340","378","380","1358"
"Keron","0","57","19","970"
"Ardell","2028","2625","10","407"
"Fredi","0","86","0","899"
"Marvell","260","318","5","897"
"Loretto","5","923","0","5"
"Roen","0","16","100","1005"
"Demetrice","123","631","1123","1534"
"Erie","1085","1306","176","873"
"Imo","0","903","0","5"
"Lavaughn","476","937","25","460"
"Arda","0","332","0","560"
"Kobi","5","36","1111","1966"
"Mikko","0","5","20","854"
"Tamer","0","33","0","799"
"Jowell","0","5","0","801"
"Claudie","2914","3697","42","64"
"Christien","17","21","115","910"
"Dresden","0","5","178","972"
"Tavish","0","5","0","780"
"Janiel","0","43","164","900"
"Jeryl","503","1001","28","299"
"Neko","5","12","235","996"
"Georgio","0","5","0","746"
"Truth","0","34","739","1452"
"Codie","19","20","1852","2581"
"Nima","0","22","347","1052"
"Toma","0","140","76","658"
"Essa","0","92","134","760"
"Jaice","0","22","103","796"
"Kaylon","0","19","656","1348"
"Ilo","15","693","19","52"
