"year","james_percentage"
1880,"2.953"
1881,"2.836"
1882,"2.668"
1883,"2.419"
1884,"2.352"
1885,"2.159"
1886,"2.109"
1887,"1.935"
1888,"1.872"
1889,"1.746"
1890,"1.702"
1891,"1.586"
1892,"1.621"
1893,"1.554"
1894,"1.516"
1895,"1.530"
1896,"1.464"
1897,"1.482"
1898,"1.403"
1899,"1.363"
1900,"1.618"
1901,"1.378"
1902,"1.454"
1903,"1.445"
1904,"1.458"
1905,"1.434"
1906,"1.388"
1907,"1.451"
1908,"1.442"
1909,"1.496"
1910,"1.567"
1911,"1.555"
1912,"1.794"
1913,"1.840"
1914,"1.862"
1915,"1.852"
1916,"1.847"
1917,"1.870"
1918,"1.950"
1919,"2.018"
1920,"2.128"
1921,"2.141"
1922,"2.186"
1923,"2.204"
1924,"2.234"
1925,"2.273"
1926,"2.333"
1927,"2.331"
1928,"2.352"
1929,"2.396"
1930,"2.446"
1931,"2.450"
1932,"2.475"
1933,"2.571"
1934,"2.626"
1935,"2.643"
1936,"2.644"
1937,"2.666"
1938,"2.684"
1939,"2.719"
1940,"2.725"
1941,"2.750"
1942,"2.835"
1943,"2.854"
1944,"2.869"
1945,"2.816"
1946,"2.744"
1947,"2.638"
1948,"2.574"
1949,"2.500"
1950,"2.469"
1951,"2.376"
1952,"2.299"
1953,"2.240"
1954,"2.174"
1955,"2.103"
1956,"2.065"
1957,"2.014"
1958,"1.912"
1959,"1.899"
1960,"1.856"
1961,"1.841"
1962,"1.804"
1963,"1.809"
1964,"1.887"
1965,"1.875"
1966,"1.883"
1967,"1.826"
1968,"1.805"
1969,"1.733"
1970,"1.722"
1971,"1.599"
1972,"1.507"
1973,"1.430"
1974,"1.368"
1975,"1.319"
1976,"1.270"
1977,"1.269"
1978,"1.265"
1979,"1.191"
1980,"1.149"
1981,"1.115"
1982,"1.117"
1983,"1.058"
1984,"1.035"
1985,"1.013"
1986,"0.965"
1987,"0.913"
1988,"0.887"
1989,"0.856"
1990,"0.822"
1991,"0.786"
1992,"0.744"
1993,"0.698"
1994,"0.668"
1995,"0.622"
1996,"0.582"
1997,"0.564"
1998,"0.537"
1999,"0.503"
2000,"0.477"
2001,"0.457"
2002,"0.455"
2003,"0.445"
2004,"0.433"
2005,"0.420"
2006,"0.412"
2007,"0.400"
2008,"0.387"
2009,"0.374"
2010,"0.377"
2011,"0.364"
2012,"0.369"
2013,"0.374"
2014,"0.391"
2015,"0.403"
2016,"0.408"
2017,"0.404"
2018,"0.389"
2019,"0.382"
2020,"0.373"
2021,"0.370"
2022,"0.360"
2023,"0.356"
2024,"0.357"
2025,"0.362"
