"first_name","early_male","early_female","recent_female","recent_male"
"Ashley","4220","3812","856045","11645"
"Madison","3252","5","419801","4617"
"Taylor","6128","145","330000","107413"
"Morgan","10498","571","223055","35145"
"Sydney","6098","5973","172323","3306"
"Lindsey","5322","1365","156186","2413"
"Kelsey","948","454","149962","4374"
"Aubrey","21766","1057","132458","9324"
"Addison","2905","0","148893","10522"
"Harper","976","0","139063","5793"
"Lindsay","3792","1999","128366","1344"
"Avery","7212","813","169193","59668"
"Bailey","2162","17","110789","19576"
"Whitney","2980","2745","94918","3014"
"Kennedy","1663","21","93642","5794"
"Skylar","58","0","87442","18216"
"Cheyenne","387","289","70443","2309"
"Sidney","68105","4637","20148","16097"
"Mckenzie","159","0","64779","2107"
"Reagan","710","142","65597","7131"
"Mallory","661","620","58424","439"
"Cassidy","23","17","60831","3712"
"Ariel","876","761","77936","21092"
"Riley","9678","72","141888","95347"
"Lacey","948","775","52999","511"
"Kendall","10572","1390","65143","24778"
"Hadley","800","56","46539","1296"
"Emery","11267","110","43727","9145"
"Delaney","314","47","45390","899"
"Peyton","1313","147","88072","51070"
"Payton","890","32","60013","23849"
"London","552","98","44357","9772"
"Harley","20939","90","31077","19766"
"Diamond","281","227","33506","2283"
"Reese","3054","11","44764","16552"
"Presley","1108","0","31778","3837"
"Marley","270","117","32928","5089"
"Paris","2563","1023","32640","6697"
"Charley","20256","540","10807","3718"
"Kerry","35353","22034","26641","14616"
"Blair","7727","778","22489","7282"
"Lacy","5517","1728","18483","957"
"Kenzie","83","5","21386","400"
"Blakely","124","5","20797","1110"
"Kinley","69","0","19959","285"
"Stevie","7432","230","17516","5005"
"Kelsie","247","140","19451","98"
"Haven","777","111","22778","4094"
"Remi","239","60","22821","3946"
"Quinn","1930","195","52308","35062"
"Kiley","78","48","19127","1019"
"Emerson","8695","0","34050","24826"
"Monroe","13669","20","7246","3425"
"Bria","5","0","16815","50"
"Mckinley","6349","0","13098","3437"
"Miley","75","68","15636","0"
"Emory","11789","136","10656","7181"
"Carlie","1154","876","14143","138"
"Harlow","1448","0","13986","1221"
"Cortney","180","133","16790","2993"
"Saylor","5","0","14482","875"
"Regan","1003","600","15707","2743"
"Ivory","5962","3128","11418","2606"
"Ansley","103","82","11796","187"
"Clair","11690","2043","2267","351"
"Collins","1821","0","10779","1865"
"Bristol","41","0","11043","532"
"Carey","11285","4346","8395","5595"
"Palmer","5003","240","9149","4261"
"Jaycee","89","11","11088","1524"
"Brook","1118","520","10110","2273"
"Jayde","8","0","8647","396"
"Kalani","46","21","10257","2191"
"Harlee","141","6","8017","338"
"Kinsey","72","5","7813","223"
"Whitley","78","0","8148","765"
"Leighton","2227","6","12406","7184"
"Sol","5957","145","3952","2328"
"Arden","5334","1219","6299","3233"
"Holland","1290","60","7775","1882"
"Finley","1742","0","22908","17638"
"Akira","602","0","7817","1418"
"Oakley","1544","62","15298","9841"
"Kenley","166","0","7290","995"
"Ireland","103","0","6347","106"
"Sky","163","11","9732","4042"
"Sloan","375","213","8172","2508"
"Kendal","927","261","8862","3750"
"Lennon","542","0","12576","7461"
"Adley","58","5","6155","605"
"Henley","185","0","6725","1362"
"Berkley","1107","5","5505","1095"
"Waverly","1640","242","4321","347"
"Marin","257","120","5976","753"
"Andie","36","28","5504","175"
"Ellery","1385","10","4734","876"
"Linsey","201","33","5092","39"
"Harlie","747","5","4487","31"
"Marlen","532","260","5252","394"
"Ellison","1083","28","5667","1880"
"Merritt","4078","234","2997","2073"
"Elisha","3849","845","13521","11819"
"Tinsley","67","0","4659","21"
"Marlowe","899","155","4650","763"
"Arlie","5987","1720","865","725"
"Ivey","1515","886","4031","288"
"Lorin","3627","426","2251","1102"
"Halley","94","90","4022","32"
"Ensley","10","0","3794","6"
"Aubry","1183","5","3015","428"
"Sheridan","1590","1135","4469","1178"
"Kayle","59","24","4004","567"
"Alva","10584","7680","1209","685"
"Jersey","11","0","4031","631"
"Loran","3144","154","663","570"
"Kiah","11","0","3313","254"
"Hartley","1089","0","2219","519"
"Campbell","829","0","7300","5385"
"Adison","7","0","3249","653"
"Alexi","29","18","4202","1727"
"Berlin","1213","70","1726","422"
"Merlyn","3232","1124","511","178"
"Clarke","2312","0","1688","1598"
"Caley","11","0","2481","140"
"Neely","368","137","2102","23"
"Irie","109","23","2732","518"
"Ricki","1628","1573","2869","675"
"Rainey","334","101","2081","116"
"Arlyn","1705","697","1647","476"
"Emmerson","149","0","2480","464"
"Lindsy","5","0","2153","0"
"Aime","464","73","1777","10"
"Salem","131","0","6491","4556"
"Larkin","1278","18","2001","1243"
"Berkeley","408","5","2068","492"
"Carrol","5918","4052","200","149"
"Hensley","23","0","2038","156"
"Elza","2072","505","326","39"
"Jia","5","0","2033","209"
"Harlyn","191","0","1843","231"
"Auburn","588","5","1332","140"
"Linley","84","24","1638","0"
"Chesley","1708","28","597","586"
"Ripley","60","0","2555","975"
"Harvie","1599","16","102","47"
"Allyn","2343","887","1028","880"
"Emry","95","0","2368","863"
"Rhyan","5","0","3097","1507"
"Amor","10","0","2257","691"
"Kyley","5","0","1603","71"
"Laurin","456","253","1344","25"
"Mabry","202","18","1297","11"
"Kelcey","53","35","2088","645"
"Lindley","602","64","936","26"
"Marlow","930","62","1841","1263"
"Linzy","510","0","974","55"
"Alexie","19","0","1645","253"
"Yuri","139","92","3677","2316"
"Alexius","6","0","1515","129"
"Markie","49","5","1595","287"
"Charly","69","0","2518","1246"
"Romie","1433","234","437","311"
"Lemon","1033","16","343","38"
"Brinkley","16","0","1308","22"
"Imari","6","0","2365","1080"
"Carrington","224","5","2658","1594"
"Daniell","101","85","1962","735"
"Winslow","1034","0","935","755"
"Kenyatta","227","167","4088","2989"
"Arleigh","486","10","700","31"
"Natale","971","16","355","181"
"Izel","10","0","1524","410"
"Alley","42","6","1072","0"
"Henny","58","5","1051","0"
"Fate","1058","0","143","128"
"Emmery","7","0","1102","37"
"Lorenza","2904","2114","1070","788"
"Pink","1089","28","10","0"
"Mckinsey","5","0","1080","17"
"Michal","1428","1024","3007","2354"
"Elliotte","26","0","1029","37"
"Berlyn","82","5","932","5"
"Reilly","13","0","5528","4547"
"Harlowe","26","0","994","40"
"Posey","396","16","583","0"
"Kary","913","707","1255","503"
"Bevin","50","49","988","86"
"Hillery","484","33","462","17"
"Kelcy","11","10","957","66"
"Ivon","302","145","1011","278"
"Linzie","327","0","570","11"
"Halsey","374","0","543","39"
"Bela","299","28","782","186"
"Izzy","15","0","1187","360"
"Estee","43","21","809","0"
"Aly","23","0","1483","691"
"Emsley","10","0","797","0"
"Jadie","50","17","783","11"
"Dallis","467","32","825","472"
"Pressley","252","0","573","47"
"Sascha","28","9","1126","367"
"Ravin","10","0","994","237"
"Ricci","584","194","660","295"
"Arly","5","0","820","70"
"Albany","5","0","725","0"
"Blakley","5","0","767","44"
"Elizah","241","0","815","329"
"Parris","573","101","1568","1330"
"Farren","145","0","731","177"
"Marshell","811","318","318","114"
"Laramie","36","6","1807","1156"
"Perl","85","10","606","0"
"Carmon","1109","937","649","141"
"Langley","81","0","670","82"
"Haile","24","0","846","203"
