"year","mary_percentage"
1880,"3.520"
1881,"3.606"
1882,"3.692"
1883,"3.708"
1884,"3.801"
1885,"3.806"
1886,"3.886"
1887,"4.016"
1888,"3.942"
1889,"4.045"
1890,"4.019"
1891,"4.096"
1892,"3.954"
1893,"3.948"
1894,"3.897"
1895,"3.844"
1896,"3.879"
1897,"3.884"
1898,"3.790"
1899,"3.898"
1900,"3.727"
1901,"3.815"
1902,"3.760"
1903,"3.761"
1904,"3.722"
1905,"3.806"
1906,"3.838"
1907,"3.793"
1908,"3.836"
1909,"3.783"
1910,"3.885"
1911,"3.801"
1912,"3.281"
1913,"3.233"
1914,"3.211"
1915,"3.184"
1916,"3.185"
1917,"3.211"
1918,"3.111"
1919,"3.127"
1920,"3.146"
1921,"3.177"
1922,"3.161"
1923,"3.120"
1924,"3.097"
1925,"3.036"
1926,"2.966"
1927,"3.058"
1928,"2.971"
1929,"2.912"
1930,"2.901"
1931,"2.881"
1932,"2.852"
1933,"2.793"
1934,"2.756"
1935,"2.649"
1936,"2.631"
1937,"2.625"
1938,"2.554"
1939,"2.504"
1940,"2.454"
1941,"2.395"
1942,"2.326"
1943,"2.353"
1944,"2.332"
1945,"2.242"
1946,"2.117"
1947,"1.995"
1948,"1.992"
1949,"1.924"
1950,"1.873"
1951,"1.788"
1952,"1.732"
1953,"1.675"
1954,"1.713"
1955,"1.577"
1956,"1.501"
1957,"1.458"
1958,"1.354"
1959,"1.315"
1960,"1.243"
1961,"1.155"
1962,"1.082"
1963,"1.053"
1964,"1.058"
1965,"0.949"
1966,"0.834"
1967,"0.749"
1968,"0.646"
1969,"0.574"
1970,"0.535"
1971,"0.489"
1972,"0.440"
1973,"0.410"
1974,"0.388"
1975,"0.366"
1976,"0.342"
1977,"0.337"
1978,"0.318"
1979,"0.319"
1980,"0.335"
1981,"0.321"
1982,"0.311"
1983,"0.287"
1984,"0.268"
1985,"0.261"
1986,"0.240"
1987,"0.235"
1988,"0.232"
1989,"0.227"
1990,"0.220"
1991,"0.226"
1992,"0.221"
1993,"0.216"
1994,"0.209"
1995,"0.204"
1996,"0.191"
1997,"0.184"
1998,"0.176"
1999,"0.173"
2000,"0.165"
2001,"0.154"
2002,"0.147"
2003,"0.133"
2004,"0.127"
2005,"0.117"
2006,"0.104"
2007,"0.093"
2008,"0.089"
2009,"0.083"
2010,"0.078"
2011,"0.074"
2012,"0.071"
2013,"0.073"
2014,"0.071"
2015,"0.071"
2016,"0.069"
2017,"0.068"
2018,"0.067"
2019,"0.065"
2020,"0.067"
2021,"0.062"
2022,"0.063"
2023,"0.063"
2024,"0.066"
2025,"0.067"
