"first_name","year","rank"
"Hannah",1880,"152"
"Austin",1880,"264"
"Taylor",1880,"280"
"Melissa",1880,"284"
"Justin",1880,"309"
"Hannah",1881,"160"
"Austin",1881,"246"
"Melissa",1881,"271"
"Taylor",1881,"272"
"Justin",1881,"304"
"Hannah",1882,"169"
"Austin",1882,"271"
"Melissa",1882,"295"
"Taylor",1882,"309"
"Hannah",1883,"169"
"Austin",1883,"280"
"Melissa",1883,"281"
"Taylor",1883,"296"
"Hannah",1884,"157"
"Austin",1884,"277"
"Melissa",1884,"299"
"Taylor",1884,"326"
"Justin",1884,"341"
"Hannah",1885,"177"
"Austin",1885,"308"
"Melissa",1885,"317"
"Taylor",1885,"336"
"Justin",1885,"353"
"Hannah",1886,"169"
"Austin",1886,"293"
"Melissa",1886,"299"
"Taylor",1886,"335"
"Justin",1886,"349"
"Hannah",1887,"158"
"Austin",1887,"302"
"Melissa",1887,"315"
"Taylor",1887,"329"
"Hannah",1888,"178"
"Austin",1888,"315"
"Melissa",1888,"354"
"Taylor",1888,"365"
"Justin",1888,"385"
"Hannah",1889,"175"
"Austin",1889,"314"
"Melissa",1889,"336"
"Taylor",1889,"354"
"Justin",1889,"374"
"Hannah",1890,"183"
"Austin",1890,"323"
"Melissa",1890,"344"
"Taylor",1890,"364"
"Justin",1890,"373"
"Hannah",1891,"174"
"Austin",1891,"320"
"Melissa",1891,"355"
"Taylor",1891,"363"
"Justin",1891,"377"
"Hannah",1892,"183"
"Austin",1892,"343"
"Melissa",1892,"379"
"Taylor",1892,"384"
"Justin",1892,"406"
"Hannah",1893,"185"
"Melissa",1893,"365"
"Austin",1893,"378"
"Taylor",1893,"392"
"Justin",1893,"404"
"Hannah",1894,"197"
"Austin",1894,"366"
"Melissa",1894,"369"
"Taylor",1894,"399"
"Justin",1894,"406"
"Hannah",1895,"203"
"Austin",1895,"370"
"Melissa",1895,"384"
"Taylor",1895,"399"
"Justin",1895,"419"
"Hannah",1896,"192"
"Austin",1896,"360"
"Taylor",1896,"389"
"Melissa",1896,"391"
"Justin",1896,"404"
"Hannah",1897,"203"
"Austin",1897,"365"
"Melissa",1897,"384"
"Taylor",1897,"387"
"Justin",1897,"406"
"Hannah",1898,"191"
"Austin",1898,"378"
"Melissa",1898,"408"
"Taylor",1898,"417"
"Justin",1898,"428"
"Hannah",1899,"206"
"Austin",1899,"373"
"Melissa",1899,"382"
"Taylor",1899,"402"
"Justin",1899,"420"
"Hannah",1900,"229"
"Austin",1900,"405"
"Taylor",1900,"423"
"Melissa",1900,"431"
"Justin",1900,"453"
"Hannah",1901,"221"
"Austin",1901,"364"
"Melissa",1901,"398"
"Taylor",1901,"407"
"Justin",1901,"424"
"Hannah",1902,"230"
"Austin",1902,"387"
"Melissa",1902,"411"
"Taylor",1902,"431"
"Justin",1902,"442"
"Hannah",1903,"238"
"Austin",1903,"392"
"Melissa",1903,"407"
"Taylor",1903,"422"
"Justin",1903,"430"
"Hannah",1904,"243"
"Austin",1904,"397"
"Taylor",1904,"432"
"Melissa",1904,"439"
"Justin",1904,"447"
"Hannah",1905,"272"
"Austin",1905,"390"
"Melissa",1905,"436"
"Taylor",1905,"436"
"Justin",1905,"451"
"Hannah",1906,"249"
"Austin",1906,"382"
"Taylor",1906,"439"
"Melissa",1906,"443"
"Justin",1906,"451"
"Hannah",1907,"284"
"Austin",1907,"445"
"Melissa",1907,"463"
"Taylor",1907,"476"
"Justin",1907,"486"
"Hannah",1908,"278"
"Austin",1908,"402"
"Melissa",1908,"459"
"Taylor",1908,"464"
"Justin",1908,"468"
"Hannah",1909,"273"
"Austin",1909,"409"
"Taylor",1909,"475"
"Melissa",1909,"477"
"Justin",1909,"496"
"Hannah",1910,"278"
"Austin",1910,"434"
"Melissa",1910,"488"
"Taylor",1910,"500"
"Justin",1910,"517"
"Hannah",1911,"325"
"Austin",1911,"457"
"Taylor",1911,"513"
"Melissa",1911,"527"
"Justin",1911,"533"
"Hannah",1912,"367"
"Austin",1912,"455"
"Justin",1912,"595"
"Taylor",1912,"605"
"Melissa",1912,"620"
"Hannah",1913,"384"
"Austin",1913,"455"
"Taylor",1913,"613"
"Justin",1913,"626"
"Melissa",1913,"639"
"Hannah",1914,"403"
"Austin",1914,"464"
"Taylor",1914,"663"
"Justin",1914,"671"
"Melissa",1914,"700"
"Debra",1914,"747"
"Hannah",1915,"430"
"Austin",1915,"475"
"Justin",1915,"716"
"Taylor",1915,"731"
"Melissa",1915,"771"
"Debra",1915,"829"
"Hannah",1916,"445"
"Austin",1916,"489"
"Justin",1916,"729"
"Taylor",1916,"751"
"Melissa",1916,"788"
"Debra",1916,"847"
"Hannah",1917,"441"
"Austin",1917,"500"
"Justin",1917,"711"
"Taylor",1917,"734"
"Melissa",1917,"799"
"Debra",1917,"846"
"Hannah",1918,"465"
"Austin",1918,"473"
"Justin",1918,"733"
"Taylor",1918,"740"
"Melissa",1918,"814"
"Debra",1918,"868"
"Hannah",1919,"456"
"Austin",1919,"501"
"Justin",1919,"719"
"Taylor",1919,"756"
"Melissa",1919,"826"
"Debra",1919,"869"
"Hannah",1920,"512"
"Austin",1920,"515"
"Taylor",1920,"787"
"Justin",1920,"788"
"Melissa",1920,"836"
"Debra",1920,"888"
"Hannah",1921,"495"
"Austin",1921,"520"
"Justin",1921,"746"
"Taylor",1921,"773"
"Melissa",1921,"816"
"Austin",1922,"494"
"Hannah",1922,"517"
"Justin",1922,"726"
"Taylor",1922,"773"
"Melissa",1922,"798"
"Debra",1922,"861"
"Austin",1923,"530"
"Hannah",1923,"537"
"Justin",1923,"774"
"Taylor",1923,"807"
"Melissa",1923,"851"
"Debra",1923,"891"
"Austin",1924,"551"
"Hannah",1924,"576"
"Justin",1924,"751"
"Taylor",1924,"788"
"Melissa",1924,"859"
"Debra",1924,"904"
"Austin",1925,"532"
"Hannah",1925,"566"
"Justin",1925,"765"
"Taylor",1925,"810"
"Melissa",1925,"842"
"Debra",1925,"886"
"Austin",1926,"524"
"Hannah",1926,"567"
"Justin",1926,"761"
"Taylor",1926,"790"
"Melissa",1926,"840"
"Debra",1926,"874"
"Austin",1927,"543"
"Hannah",1927,"585"
"Justin",1927,"759"
"Taylor",1927,"812"
"Melissa",1927,"852"
"Debra",1927,"884"
"Austin",1928,"550"
"Hannah",1928,"624"
"Justin",1928,"768"
"Taylor",1928,"799"
"Melissa",1928,"846"
"Debra",1928,"877"
"Austin",1929,"571"
"Hannah",1929,"640"
"Justin",1929,"773"
"Taylor",1929,"790"
"Melissa",1929,"839"
"Debra",1929,"864"
"Austin",1930,"558"
"Hannah",1930,"647"
"Justin",1930,"776"
"Taylor",1930,"811"
"Melissa",1930,"832"
"Debra",1930,"872"
"Austin",1931,"556"
"Hannah",1931,"650"
"Justin",1931,"781"
"Taylor",1931,"803"
"Melissa",1931,"815"
"Debra",1931,"842"
"Austin",1932,"606"
"Hannah",1932,"640"
"Justin",1932,"781"
"Taylor",1932,"785"
"Melissa",1932,"802"
