"decade","top_ten_sum","total_sum","top10_percentage"
1880,"5377870","24080910","22.33"
1890,"5844360","33625080","17.38"
1900,"6994890","42851230","16.32"
1910,"26797200","148314460","18.07"
1920,"44245260","229720530","19.26"
1930,"41809940","212295620","19.69"
1940,"57864240","293716850","19.70"
1950,"69303270","394515120","17.57"
1960,"57524810","375277980","15.33"
1970,"45877920","319683380","14.35"
1980,"45925090","356344380","12.89"
1990,"33189480","374851380","8.85"
2000,"22585030","384370960","5.88"
2010,"17553550","363049730","4.84"
2020,"8898100","200926860","4.43"
