"first_name","rank","total_occurances"
"Mary","1","4141481"
"Elizabeth","2","1688757"
"Patricia","3","1573623"
"Jennifer","4","1471703"
"Linda","5","1455143"
"Barbara","6","1436695"
"Margaret","7","1264774"
"Susan","8","1123481"
"Dorothy","9","1112231"
"Sarah","10","1098498"
"Jessica","11","1050729"
"Helen","12","1024202"
"Nancy","13","1004448"
"Betty","14","1001238"
"Karen","15","987989"
"Lisa","16","967229"
"Anna","17","914859"
"Emily","18","896487"
"Sandra","19","875531"
"Ashley","20","859857"
